rank,player_id,name,position,source,vorp,draft_round,rationale,log_ref
279,7537,Jaret Patterson,RB,vorp,-73.70000056907536,,"[VORP RECALIBRATED 2026-08-29: shrunk to reflect QB/RB/WR/TE year-over-year reliability (POSITION_YOY_RELIABILITY); mechanically re-sorted by the new value, see 2026-08-29-bigboard-vorp-shrinkage-review-pass.]",2026-08-29-bigboard-vorp-shrinkage-review-pass
280,7828,Noah Gray,TE,vorp,-73.78000035971404,,"[VORP RECALIBRATED 2026-08-29: shrunk to reflect QB/RB/WR/TE year-over-year reliability (POSITION_YOY_RELIABILITY); mechanically re-sorted by the new value, see 2026-08-29-bigboard-vorp-shrinkage-review-pass.]",2026-08-29-bigboard-vorp-shrinkage-review-pass
281,4718,Dare Ogunbowale,RB,vorp,-74.10200063496829,,"[VORP RECALIBRATED 2026-08-29: shrunk to reflect QB/RB/WR/TE year-over-year reliability (POSITION_YOY_RELIABILITY); mechanically re-sorted by the new value, see 2026-08-29-bigboard-vorp-shrinkage-review-pass.]",2026-08-29-bigboard-vorp-shrinkage-review-pass
282,12544,LeQuint Allen Jr.,RB,vorp,-74.30300058804453,,"[VORP RECALIBRATED 2026-08-29: shrunk to reflect QB/RB/WR/TE year-over-year reliability (POSITION_YOY_RELIABILITY); mechanically re-sorted by the new value, see 2026-08-29-bigboard-vorp-shrinkage-review-pass.]",2026-08-29-bigboard-vorp-shrinkage-review-pass
283,12521,Elijah Arroyo,TE,vorp,-74.39200035870076,,"[VORP RECALIBRATED 2026-08-29: shrunk to reflect QB/RB/WR/TE year-over-year reliability (POSITION_YOY_RELIABILITY); mechanically re-sorted by the new value, see 2026-08-29-bigboard-vorp-shrinkage-review-pass.]",2026-08-29-bigboard-vorp-shrinkage-review-pass
284,2374,Tyler Lockett,WR,vorp,-74.60680049598217,,"[VORP RECALIBRATED 2026-08-29: shrunk to reflect QB/RB/WR/TE year-over-year reliability (POSITION_YOY_RELIABILITY); mechanically re-sorted by the new value, see 2026-08-29-bigboard-vorp-shrinkage-review-pass.]",2026-08-29-bigboard-vorp-shrinkage-review-pass
285,8143,Jerome Ford,RB,vorp,-61.70700056008995,,"[ROLE-CHANGE REVIEW 2026-08-28: moved #238 -> down -- signed WAS into a crowded backfield (Croskey-Merritt, White, rookie Kaytron Allen, McNichols all ahead), projected rotational RB3/RB4 at best with an unconfirmed IR listing per RotoWire (wiki/players/8143-jerome-ford.md); no ADP entry, but the depth-chart picture alone argues for materially lower than rank=238.] [RESOLVED 2026-08-29 (shrinkage review pass): checked against the shrunk vorp and current neighbors -- no named board-rank anchor in this rationale is violated (any ""behind X""/""ahead of X"" wording here describes real NFL depth-chart standing, not board position), and the local vorp inversion versus new neighbors is the expected shape of any hand-promoted/demoted row, not a new defect. Kept as-is. See 2026-08-29-bigboard-vorp-shrinkage-review-pass.]",2026-08-29-bigboard-vorp-shrinkage-review-pass
286,1426,DeAndre Hopkins,WR,vorp,-74.67780045472085,,"[VORP RECALIBRATED 2026-08-29: shrunk to reflect QB/RB/WR/TE year-over-year reliability (POSITION_YOY_RELIABILITY); mechanically re-sorted by the new value, see 2026-08-29-bigboard-vorp-shrinkage-review-pass.]",2026-08-29-bigboard-vorp-shrinkage-review-pass
287,6945,Antonio Gibson,RB,vorp,-74.70500062398612,,"[VORP RECALIBRATED 2026-08-29: shrunk to reflect QB/RB/WR/TE year-over-year reliability (POSITION_YOY_RELIABILITY); mechanically re-sorted by the new value, see 2026-08-29-bigboard-vorp-shrinkage-review-pass.]",2026-08-29-bigboard-vorp-shrinkage-review-pass
288,11570,Rasheen Ali,RB,vorp,-74.70500064395368,,"[VORP RECALIBRATED 2026-08-29: shrunk to reflect QB/RB/WR/TE year-over-year reliability (POSITION_YOY_RELIABILITY); mechanically re-sorted by the new value, see 2026-08-29-bigboard-vorp-shrinkage-review-pass.]",2026-08-29-bigboard-vorp-shrinkage-review-pass
289,3634,Kalif Raymond,WR,vorp,-74.81980047799647,,"[VORP RECALIBRATED 2026-08-29: shrunk to reflect QB/RB/WR/TE year-over-year reliability (POSITION_YOY_RELIABILITY); mechanically re-sorted by the new value, see 2026-08-29-bigboard-vorp-shrinkage-review-pass.]",2026-08-29-bigboard-vorp-shrinkage-review-pass
290,7891,Brock Wright,TE,vorp,-75.14000043064357,,"[VORP RECALIBRATED 2026-08-29: shrunk to reflect QB/RB/WR/TE year-over-year reliability (POSITION_YOY_RELIABILITY); mechanically re-sorted by the new value, see 2026-08-29-bigboard-vorp-shrinkage-review-pass.]",2026-08-29-bigboard-vorp-shrinkage-review-pass
291,11834,Devaughn Vele,WR,vorp,-75.1748004938662,,"[VORP RECALIBRATED 2026-08-29: shrunk to reflect QB/RB/WR/TE year-over-year reliability (POSITION_YOY_RELIABILITY); mechanically re-sorted by the new value, see 2026-08-29-bigboard-vorp-shrinkage-review-pass.]",2026-08-29-bigboard-vorp-shrinkage-review-pass
292,8127,Charlie Kolar,TE,vorp,-75.54800039619208,,"[VORP RECALIBRATED 2026-08-29: shrunk to reflect QB/RB/WR/TE year-over-year reliability (POSITION_YOY_RELIABILITY); mechanically re-sorted by the new value, see 2026-08-29-bigboard-vorp-shrinkage-review-pass.]",2026-08-29-bigboard-vorp-shrinkage-review-pass
293,12524,Shedeur Sanders,QB,vorp,-76.0079993069172,,"[VORP RECALIBRATED 2026-08-29: shrunk to reflect QB/RB/WR/TE year-over-year reliability (POSITION_YOY_RELIABILITY); mechanically re-sorted by the new value, see 2026-08-29-bigboard-vorp-shrinkage-review-pass.]",2026-08-29-bigboard-vorp-shrinkage-review-pass
294,12497,Tory Horton,WR,vorp,-76.02680063351988,,"[VORP RECALIBRATED 2026-08-29: shrunk to reflect QB/RB/WR/TE year-over-year reliability (POSITION_YOY_RELIABILITY); mechanically re-sorted by the new value, see 2026-08-29-bigboard-vorp-shrinkage-review-pass.]",2026-08-29-bigboard-vorp-shrinkage-review-pass
295,12048,George Holani,RB,vorp,-76.31300064794719,,"[VORP RECALIBRATED 2026-08-29: shrunk to reflect QB/RB/WR/TE year-over-year reliability (POSITION_YOY_RELIABILITY); mechanically re-sorted by the new value, see 2026-08-29-bigboard-vorp-shrinkage-review-pass.]",2026-08-29-bigboard-vorp-shrinkage-review-pass
296,12484,Jayden Higgins,WR,vorp,-30.302800248414275,,"[INJURY REVIEW 2026-08-27: moved #149 -> #298 — placed on season-ending IR 2026-08-21 (torn ACL); out for all of 2026, no realistic draft-day value this season.] [RESOLVED 2026-08-29 (shrinkage review pass): checked against the shrunk vorp and current neighbors -- no named board-rank anchor in this rationale is violated (any ""behind X""/""ahead of X"" wording here describes real NFL depth-chart standing, not board position), and the local vorp inversion versus new neighbors is the expected shape of any hand-promoted/demoted row, not a new defect. Kept as-is. See 2026-08-29-bigboard-vorp-shrinkage-review-pass.]",2026-08-29-bigboard-vorp-shrinkage-review-pass
297,11638,Ricky Pearsall,WR,vorp,-59.34180024735629,,"[INJURY REVIEW 2026-08-27: moved #219 -> #299 — placed on season-ending IR 2026-08-01 (PCL surgery, re-aggravated in camp); out for all of 2026.] [RESOLVED 2026-08-29 (shrinkage review pass): checked against the shrunk vorp and current neighbors -- no named board-rank anchor in this rationale is violated (any ""behind X""/""ahead of X"" wording here describes real NFL depth-chart standing, not board position), and the local vorp inversion versus new neighbors is the expected shape of any hand-promoted/demoted row, not a new defect. Kept as-is. See 2026-08-29-bigboard-vorp-shrinkage-review-pass.]",2026-08-29-bigboard-vorp-shrinkage-review-pass
298,12457,Jaydon Blue,RB,vorp,-77.25100060202182,,"[VORP RECALIBRATED 2026-08-29: shrunk to reflect QB/RB/WR/TE year-over-year reliability (POSITION_YOY_RELIABILITY); mechanically re-sorted by the new value, see 2026-08-29-bigboard-vorp-shrinkage-review-pass.]",2026-08-29-bigboard-vorp-shrinkage-review-pass
299,12472,Raheim Sanders,RB,vorp,-77.31800062298775,,"[VORP RECALIBRATED 2026-08-29: shrunk to reflect QB/RB/WR/TE year-over-year reliability (POSITION_YOY_RELIABILITY); mechanically re-sorted by the new value, see 2026-08-29-bigboard-vorp-shrinkage-review-pass.]",2026-08-29-bigboard-vorp-shrinkage-review-pass
300,11577,Will Shipley,RB,vorp,-77.85400063097478,,"[VORP RECALIBRATED 2026-08-29: shrunk to reflect QB/RB/WR/TE year-over-year reliability (POSITION_YOY_RELIABILITY); mechanically re-sorted by the new value, see 2026-08-29-bigboard-vorp-shrinkage-review-pass.]",2026-08-29-bigboard-vorp-shrinkage-review-pass
301,7535,Hunter Long,TE,vorp,-78.06400045394898,,"[VORP RECALIBRATED 2026-08-29: shrunk to reflect QB/RB/WR/TE year-over-year reliability (POSITION_YOY_RELIABILITY); mechanically re-sorted by the new value, see 2026-08-29-bigboard-vorp-shrinkage-review-pass.]",2026-08-29-bigboard-vorp-shrinkage-review-pass
302,6001,Drew Sample,TE,vorp,-78.47200042963028,,"[VORP RECALIBRATED 2026-08-29: shrunk to reflect QB/RB/WR/TE year-over-year reliability (POSITION_YOY_RELIABILITY); mechanically re-sorted by the new value, see 2026-08-29-bigboard-vorp-shrinkage-review-pass.]",2026-08-29-bigboard-vorp-shrinkage-review-pass
303,11371,Julian Hill,TE,vorp,-79.08400039821863,,"[VORP RECALIBRATED 2026-08-29: shrunk to reflect QB/RB/WR/TE year-over-year reliability (POSITION_YOY_RELIABILITY); mechanically re-sorted by the new value, see 2026-08-29-bigboard-vorp-shrinkage-review-pass.]",2026-08-29-bigboard-vorp-shrinkage-review-pass
304,11608,Isaiah Williams,WR,vorp,-79.15080056369304,,"[VORP RECALIBRATED 2026-08-29: shrunk to reflect QB/RB/WR/TE year-over-year reliability (POSITION_YOY_RELIABILITY); mechanically re-sorted by the new value, see 2026-08-29-bigboard-vorp-shrinkage-review-pass.]",2026-08-29-bigboard-vorp-shrinkage-review-pass
305,4054,Mo Alie-Cox,TE,vorp,-79.28800042152406,,"[VORP RECALIBRATED 2026-08-29: shrunk to reflect QB/RB/WR/TE year-over-year reliability (POSITION_YOY_RELIABILITY); mechanically re-sorted by the new value, see 2026-08-29-bigboard-vorp-shrinkage-review-pass.]",2026-08-29-bigboard-vorp-shrinkage-review-pass
306,7842,Luke Farrell,TE,vorp,-79.42400045394898,,"[VORP RECALIBRATED 2026-08-29: shrunk to reflect QB/RB/WR/TE year-over-year reliability (POSITION_YOY_RELIABILITY); mechanically re-sorted by the new value, see 2026-08-29-bigboard-vorp-shrinkage-review-pass.]",2026-08-29-bigboard-vorp-shrinkage-review-pass
307,6144,Trayveon Williams,RB,vorp,-79.46200064495207,,"[VORP RECALIBRATED 2026-08-29: shrunk to reflect QB/RB/WR/TE year-over-year reliability (POSITION_YOY_RELIABILITY); mechanically re-sorted by the new value, see 2026-08-29-bigboard-vorp-shrinkage-review-pass.]",2026-08-29-bigboard-vorp-shrinkage-review-pass
308,10444,Cedric Tillman,WR,vorp,-79.6478005181998,,"[VORP RECALIBRATED 2026-08-29: shrunk to reflect QB/RB/WR/TE year-over-year reliability (POSITION_YOY_RELIABILITY); mechanically re-sorted by the new value, see 2026-08-29-bigboard-vorp-shrinkage-review-pass.]",2026-08-29-bigboard-vorp-shrinkage-review-pass
309,11576,Braelon Allen,RB,vorp,-79.9980006429553,,"[VORP RECALIBRATED 2026-08-29: shrunk to reflect QB/RB/WR/TE year-over-year reliability (POSITION_YOY_RELIABILITY); mechanically re-sorted by the new value, see 2026-08-29-bigboard-vorp-shrinkage-review-pass.]",2026-08-29-bigboard-vorp-shrinkage-review-pass
310,8180,Jalen Nailor,WR,vorp,-50.75080032035708,,"[ROLE-CHANGE REVIEW 2026-08-28: moved #198 -> down, near DraftSharks 2026-08-28 ADP (overall 313) -- signed LV as the No. 2 target behind TE Brock Bowers in a WR room with no established pecking order (wiki/players/8180-jalen-nailor.md); vorp=-71.5 already reflected a rough 2025, ADP confirms no material role bump yet.] [RESOLVED 2026-08-29 (shrinkage review pass): checked against the shrunk vorp and current neighbors -- no named board-rank anchor in this rationale is violated (any ""behind X""/""ahead of X"" wording here describes real NFL depth-chart standing, not board position), and the local vorp inversion versus new neighbors is the expected shape of any hand-promoted/demoted row, not a new defect. Kept as-is. See 2026-08-29-bigboard-vorp-shrinkage-review-pass.]",2026-08-29-bigboard-vorp-shrinkage-review-pass
311,12412,Terrell Jennings,RB,vorp,-80.73500065393746,,"[VORP RECALIBRATED 2026-08-29: shrunk to reflect QB/RB/WR/TE year-over-year reliability (POSITION_YOY_RELIABILITY); mechanically re-sorted by the new value, see 2026-08-29-bigboard-vorp-shrinkage-review-pass.]",2026-08-29-bigboard-vorp-shrinkage-review-pass
312,11596,Ben Sinnott,TE,vorp,-80.8520004245639,,"[VORP RECALIBRATED 2026-08-29: shrunk to reflect QB/RB/WR/TE year-over-year reliability (POSITION_YOY_RELIABILITY); mechanically re-sorted by the new value, see 2026-08-29-bigboard-vorp-shrinkage-review-pass.]",2026-08-29-bigboard-vorp-shrinkage-review-pass
313,3286,Demarcus Robinson,WR,vorp,-80.92580050550401,,"[VORP RECALIBRATED 2026-08-29: shrunk to reflect QB/RB/WR/TE year-over-year reliability (POSITION_YOY_RELIABILITY); mechanically re-sorted by the new value, see 2026-08-29-bigboard-vorp-shrinkage-review-pass.]",2026-08-29-bigboard-vorp-shrinkage-review-pass
314,4950,Christian Kirk,WR,vorp,-81.13880055099726,,"[ROLE-CHANGE REVIEW 2026-08-28: reconsidered, no change -- signed SF on a 1yr 'prove-it' deal as primary slot receiver (~15-20% target share projected), directly filling Jauan Jennings' vacated role (wiki/players/4950-christian-kirk.md); DraftSharks 2026-08-28 ADP has him far lower (overall 769) than the board's rank=292, but at this depth the practical draft-order difference is immaterial -- keeping as-is.] [VORP RECALIBRATED 2026-08-29: shrunk to reflect QB/RB/WR/TE year-over-year reliability (POSITION_YOY_RELIABILITY); mechanically re-sorted by the new value, see 2026-08-29-bigboard-vorp-shrinkage-review-pass.]",2026-08-29-bigboard-vorp-shrinkage-review-pass
315,7716,John Bates,TE,vorp,-81.60000043570996,,"[VORP RECALIBRATED 2026-08-29: shrunk to reflect QB/RB/WR/TE year-over-year reliability (POSITION_YOY_RELIABILITY); mechanically re-sorted by the new value, see 2026-08-29-bigboard-vorp-shrinkage-review-pass.]",2026-08-29-bigboard-vorp-shrinkage-review-pass
316,10871,Luke Schoonmaker,TE,vorp,-81.66800040632486,,"[VORP RECALIBRATED 2026-08-29: shrunk to reflect QB/RB/WR/TE year-over-year reliability (POSITION_YOY_RELIABILITY); mechanically re-sorted by the new value, see 2026-08-29-bigboard-vorp-shrinkage-review-pass.]",2026-08-29-bigboard-vorp-shrinkage-review-pass
317,12531,Trevor Etienne,RB,vorp,-81.74000062897802,,"[VORP RECALIBRATED 2026-08-29: shrunk to reflect QB/RB/WR/TE year-over-year reliability (POSITION_YOY_RELIABILITY); mechanically re-sorted by the new value, see 2026-08-29-bigboard-vorp-shrinkage-review-pass.]",2026-08-29-bigboard-vorp-shrinkage-review-pass
318,4663,Austin Ekeler,RB,vorp,-82.14200065493584,,"[VORP RECALIBRATED 2026-08-29: shrunk to reflect QB/RB/WR/TE year-over-year reliability (POSITION_YOY_RELIABILITY); mechanically re-sorted by the new value, see 2026-08-29-bigboard-vorp-shrinkage-review-pass.]",2026-08-29-bigboard-vorp-shrinkage-review-pass
319,7049,Jauan Jennings,WR,vorp,1.5051998764276504,,"[ROLE-CHANGE REVIEW 2026-08-28: moved #104 -> down, near DraftSharks 2026-08-28 ADP (overall 321) -- signed MIN as a modest-target-share slot WR3 behind Jefferson/Addison (wiki/players/7049-jauan-jennings.md); his old SF slot role (and vorp=2.1) is gone.] [RESOLVED 2026-08-29 (shrinkage review pass): checked against the shrunk vorp and current neighbors -- no named board-rank anchor in this rationale is violated (any ""behind X""/""ahead of X"" wording here describes real NFL depth-chart standing, not board position), and the local vorp inversion versus new neighbors is the expected shape of any hand-promoted/demoted row, not a new defect. Kept as-is. See 2026-08-29-bigboard-vorp-shrinkage-review-pass.]",2026-08-29-bigboard-vorp-shrinkage-review-pass
320,7571,Rashod Bateman,WR,vorp,-82.913800566867,,"[VORP RECALIBRATED 2026-08-29: shrunk to reflect QB/RB/WR/TE year-over-year reliability (POSITION_YOY_RELIABILITY); mechanically re-sorted by the new value, see 2026-08-29-bigboard-vorp-shrinkage-review-pass.]",2026-08-29-bigboard-vorp-shrinkage-review-pass
321,8500,John FitzPatrick,TE,vorp,-83.0280004671216,,"[VORP RECALIBRATED 2026-08-29: shrunk to reflect QB/RB/WR/TE year-over-year reliability (POSITION_YOY_RELIABILITY); mechanically re-sorted by the new value, see 2026-08-29-bigboard-vorp-shrinkage-review-pass.]",2026-08-29-bigboard-vorp-shrinkage-review-pass
322,7528,Najee Harris,RB,vorp,-83.14700064994395,,"[VORP RECALIBRATED 2026-08-29: shrunk to reflect QB/RB/WR/TE year-over-year reliability (POSITION_YOY_RELIABILITY); mechanically re-sorted by the new value, see 2026-08-29-bigboard-vorp-shrinkage-review-pass.]",2026-08-29-bigboard-vorp-shrinkage-review-pass
323,12503,Isaiah Bond,WR,vorp,-83.4108004155755,,"[VORP RECALIBRATED 2026-08-29: shrunk to reflect QB/RB/WR/TE year-over-year reliability (POSITION_YOY_RELIABILITY); mechanically re-sorted by the new value, see 2026-08-29-bigboard-vorp-shrinkage-review-pass.]",2026-08-29-bigboard-vorp-shrinkage-review-pass
324,4995,Ian Thomas,TE,vorp,-83.5720004245639,,"[VORP RECALIBRATED 2026-08-29: shrunk to reflect QB/RB/WR/TE year-over-year reliability (POSITION_YOY_RELIABILITY); mechanically re-sorted by the new value, see 2026-08-29-bigboard-vorp-shrinkage-review-pass.]",2026-08-29-bigboard-vorp-shrinkage-review-pass
325,7720,Kene Nwangwu,RB,vorp,-83.61600068688394,,"[VORP RECALIBRATED 2026-08-29: shrunk to reflect QB/RB/WR/TE year-over-year reliability (POSITION_YOY_RELIABILITY); mechanically re-sorted by the new value, see 2026-08-29-bigboard-vorp-shrinkage-review-pass.]",2026-08-29-bigboard-vorp-shrinkage-review-pass
326,12738,Phil Mafah,RB,vorp,-83.6160007068515,,"[VORP RECALIBRATED 2026-08-29: shrunk to reflect QB/RB/WR/TE year-over-year reliability (POSITION_YOY_RELIABILITY); mechanically re-sorted by the new value, see 2026-08-29-bigboard-vorp-shrinkage-review-pass.]",2026-08-29-bigboard-vorp-shrinkage-review-pass
327,11593,Brevyn Spann-Ford,TE,vorp,-83.84400044888258,,"[VORP RECALIBRATED 2026-08-29: shrunk to reflect QB/RB/WR/TE year-over-year reliability (POSITION_YOY_RELIABILITY); mechanically re-sorted by the new value, see 2026-08-29-bigboard-vorp-shrinkage-review-pass.]",2026-08-29-bigboard-vorp-shrinkage-review-pass
328,6828,AJ Dillon,RB,vorp,-84.15200065493585,,"[VORP RECALIBRATED 2026-08-29: shrunk to reflect QB/RB/WR/TE year-over-year reliability (POSITION_YOY_RELIABILITY); mechanically re-sorted by the new value, see 2026-08-29-bigboard-vorp-shrinkage-review-pass.]",2026-08-29-bigboard-vorp-shrinkage-review-pass
329,8123,Hassan Haskins,RB,vorp,-84.21900067590178,,"[VORP RECALIBRATED 2026-08-29: shrunk to reflect QB/RB/WR/TE year-over-year reliability (POSITION_YOY_RELIABILITY); mechanically re-sorted by the new value, see 2026-08-29-bigboard-vorp-shrinkage-review-pass.]",2026-08-29-bigboard-vorp-shrinkage-review-pass
330,3161,Carson Wentz,QB,vorp,-84.23199930787086,,"[VORP RECALIBRATED 2026-08-29: shrunk to reflect QB/RB/WR/TE year-over-year reliability (POSITION_YOY_RELIABILITY); mechanically re-sorted by the new value, see 2026-08-29-bigboard-vorp-shrinkage-review-pass.]",2026-08-29-bigboard-vorp-shrinkage-review-pass
331,3321,Tyreek Hill,WR,vorp,-84.26280052348972,,"[VORP RECALIBRATED 2026-08-29: shrunk to reflect QB/RB/WR/TE year-over-year reliability (POSITION_YOY_RELIABILITY); mechanically re-sorted by the new value, see 2026-08-29-bigboard-vorp-shrinkage-review-pass.]",2026-08-29-bigboard-vorp-shrinkage-review-pass
332,8423,Brittain Brown,RB,vorp,-84.42000069886447,,"[VORP RECALIBRATED 2026-08-29: shrunk to reflect QB/RB/WR/TE year-over-year reliability (POSITION_YOY_RELIABILITY); mechanically re-sorted by the new value, see 2026-08-29-bigboard-vorp-shrinkage-review-pass.]",2026-08-29-bigboard-vorp-shrinkage-review-pass
333,7607,Michael Carter,RB,vorp,-24.58900013677776,,"[ROLE-CHANGE REVIEW 2026-08-28: moved #148 -> down, near other deep-bench-only backs -- signed TEN in April but is buried behind Tony Pollard/Tyjae Spears and fighting rookies just for a 4th/5th roster spot (wiki/players/7607-michael-carter.md); minimal fantasy relevance despite the team change, vorp=-36.7 badly overstates his 2026 outlook.] [RESOLVED 2026-08-29 (shrinkage review pass): checked against the shrunk vorp and current neighbors -- no named board-rank anchor in this rationale is violated (any ""behind X""/""ahead of X"" wording here describes real NFL depth-chart standing, not board position), and the local vorp inversion versus new neighbors is the expected shape of any hand-promoted/demoted row, not a new defect. Kept as-is. See 2026-08-29-bigboard-vorp-shrinkage-review-pass.]",2026-08-29-bigboard-vorp-shrinkage-review-pass
334,12471,DJ Giddens,RB,vorp,-84.48700063996017,,"[VORP RECALIBRATED 2026-08-29: shrunk to reflect QB/RB/WR/TE year-over-year reliability (POSITION_YOY_RELIABILITY); mechanically re-sorted by the new value, see 2026-08-29-bigboard-vorp-shrinkage-review-pass.]",2026-08-29-bigboard-vorp-shrinkage-review-pass
335,8139,Zamir White,RB,vorp,-84.48700067989529,,"[VORP RECALIBRATED 2026-08-29: shrunk to reflect QB/RB/WR/TE year-over-year reliability (POSITION_YOY_RELIABILITY); mechanically re-sorted by the new value, see 2026-08-29-bigboard-vorp-shrinkage-review-pass.]",2026-08-29-bigboard-vorp-shrinkage-review-pass
336,12491,Corey Kiner,RB,vorp,-84.68800066292286,,"[VORP RECALIBRATED 2026-08-29: shrunk to reflect QB/RB/WR/TE year-over-year reliability (POSITION_YOY_RELIABILITY); mechanically re-sorted by the new value, see 2026-08-29-bigboard-vorp-shrinkage-review-pass.]",2026-08-29-bigboard-vorp-shrinkage-review-pass
337,8177,Grant Calcaterra,TE,vorp,-84.7960004630685,,"[VORP RECALIBRATED 2026-08-29: shrunk to reflect QB/RB/WR/TE year-over-year reliability (POSITION_YOY_RELIABILITY); mechanically re-sorted by the new value, see 2026-08-29-bigboard-vorp-shrinkage-review-pass.]",2026-08-29-bigboard-vorp-shrinkage-review-pass
338,12504,Kaleb Johnson,RB,vorp,-85.02300065793098,,"[VORP RECALIBRATED 2026-08-29: shrunk to reflect QB/RB/WR/TE year-over-year reliability (POSITION_YOY_RELIABILITY); mechanically re-sorted by the new value, see 2026-08-29-bigboard-vorp-shrinkage-review-pass.]",2026-08-29-bigboard-vorp-shrinkage-review-pass
339,8230,Ty Chandler,RB,vorp,-85.02300067789854,,"[VORP RECALIBRATED 2026-08-29: shrunk to reflect QB/RB/WR/TE year-over-year reliability (POSITION_YOY_RELIABILITY); mechanically re-sorted by the new value, see 2026-08-29-bigboard-vorp-shrinkage-review-pass.]",2026-08-29-bigboard-vorp-shrinkage-review-pass
340,7670,Josh Palmer,WR,vorp,-85.11480048328637,,"[VORP RECALIBRATED 2026-08-29: shrunk to reflect QB/RB/WR/TE year-over-year reliability (POSITION_YOY_RELIABILITY); mechanically re-sorted by the new value, see 2026-08-29-bigboard-vorp-shrinkage-review-pass.]",2026-08-29-bigboard-vorp-shrinkage-review-pass
341,2197,Brandin Cooks,WR,vorp,-85.39880050867795,,"[VORP RECALIBRATED 2026-08-29: shrunk to reflect QB/RB/WR/TE year-over-year reliability (POSITION_YOY_RELIABILITY); mechanically re-sorted by the new value, see 2026-08-29-bigboard-vorp-shrinkage-review-pass.]",2026-08-29-bigboard-vorp-shrinkage-review-pass
342,12486,Dillon Gabriel,QB,vorp,-85.53599919080735,,"[VORP RECALIBRATED 2026-08-29: shrunk to reflect QB/RB/WR/TE year-over-year reliability (POSITION_YOY_RELIABILITY); mechanically re-sorted by the new value, see 2026-08-29-bigboard-vorp-shrinkage-review-pass.]",2026-08-29-bigboard-vorp-shrinkage-review-pass
343,4351,Tim Patrick,WR,vorp,-85.54080060601234,,"[VORP RECALIBRATED 2026-08-29: shrunk to reflect QB/RB/WR/TE year-over-year reliability (POSITION_YOY_RELIABILITY); mechanically re-sorted by the new value, see 2026-08-29-bigboard-vorp-shrinkage-review-pass.]",2026-08-29-bigboard-vorp-shrinkage-review-pass
344,12171,British Brooks,RB,vorp,-85.69300065793098,,"[VORP RECALIBRATED 2026-08-29: shrunk to reflect QB/RB/WR/TE year-over-year reliability (POSITION_YOY_RELIABILITY); mechanically re-sorted by the new value, see 2026-08-29-bigboard-vorp-shrinkage-review-pass.]",2026-08-29-bigboard-vorp-shrinkage-review-pass
345,11650,Luke McCaffrey,WR,vorp,-85.82480058908462,,"[VORP RECALIBRATED 2026-08-29: shrunk to reflect QB/RB/WR/TE year-over-year reliability (POSITION_YOY_RELIABILITY); mechanically re-sorted by the new value, see 2026-08-29-bigboard-vorp-shrinkage-review-pass.]",2026-08-29-bigboard-vorp-shrinkage-review-pass
346,9504,Kayshon Boutte,WR,vorp,-34.136800220906736,,"[ROLE-CHANGE REVIEW 2026-08-28: moved #169 -> down, near DraftSharks 2026-08-28 ADP (overall 346) -- no wiki news on file for the NE landing spot, but NE's WR room now also includes fellow 2026 role-changers A.J. Brown and Romeo Doubs ahead of him; deferring to ADP given the size of the gap vs. the board's vorp-only rank=169.] [RESOLVED 2026-08-29 (shrinkage review pass): checked against the shrunk vorp and current neighbors -- no named board-rank anchor in this rationale is violated (any ""behind X""/""ahead of X"" wording here describes real NFL depth-chart standing, not board position), and the local vorp inversion versus new neighbors is the expected shape of any hand-promoted/demoted row, not a new defect. Kept as-is. See 2026-08-29-bigboard-vorp-shrinkage-review-pass.]",2026-08-29-bigboard-vorp-shrinkage-review-pass
347,12641,Jaylin Lane,WR,vorp,-85.89580055840312,,"[VORP RECALIBRATED 2026-08-29: shrunk to reflect QB/RB/WR/TE year-over-year reliability (POSITION_YOY_RELIABILITY); mechanically re-sorted by the new value, see 2026-08-29-bigboard-vorp-shrinkage-review-pass.]",2026-08-29-bigboard-vorp-shrinkage-review-pass
348,5010,Will Dissly,TE,vorp,-86.08800044178963,,"[VORP RECALIBRATED 2026-08-29: shrunk to reflect QB/RB/WR/TE year-over-year reliability (POSITION_YOY_RELIABILITY); mechanically re-sorted by the new value, see 2026-08-29-bigboard-vorp-shrinkage-review-pass.]",2026-08-29-bigboard-vorp-shrinkage-review-pass
349,6938,Cam Akers,RB,vorp,-86.10840073600411,,"[VORP RECALIBRATED 2026-08-29: shrunk to reflect QB/RB/WR/TE year-over-year reliability (POSITION_YOY_RELIABILITY); mechanically re-sorted by the new value, see 2026-08-29-bigboard-vorp-shrinkage-review-pass.]",2026-08-29-bigboard-vorp-shrinkage-review-pass
350,7587,Dyami Brown,WR,vorp,-86.25080053195357,,"[VORP RECALIBRATED 2026-08-29: shrunk to reflect QB/RB/WR/TE year-over-year reliability (POSITION_YOY_RELIABILITY); mechanically re-sorted by the new value, see 2026-08-29-bigboard-vorp-shrinkage-review-pass.]",2026-08-29-bigboard-vorp-shrinkage-review-pass
351,4314,Johnny Mundt,TE,vorp,-86.49600042760373,,"[VORP RECALIBRATED 2026-08-29: shrunk to reflect QB/RB/WR/TE year-over-year reliability (POSITION_YOY_RELIABILITY); mechanically re-sorted by the new value, see 2026-08-29-bigboard-vorp-shrinkage-review-pass.]",2026-08-29-bigboard-vorp-shrinkage-review-pass
